Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
ECE,40200,13,PWL,0,Electrical Engineering Design Projects,T,10:30 am-01:20 pm,0,3,-3,0,0,0,0,0,0,"Matthew A Swabey (P), Barrett Frank Robinson",01/12-05/02,EE 159,Laboratory
ECE,40400,1,PWL,3,Introduction To Computer Security,TR,04:30 pm-05:45 pm,55,49,6,0,0,0,0,0,0,"Avinash C Kak (P), Bharathkumar Comandurjagannathanraghunathan , Tanmay K Prakash",01/12-05/02,KNOY B033,Lecture
ECE,41400,1,PWL,3,Elements Of Electro And Fiber Optics,TR,09:00 am-10:15 am,23,14,9,0,0,0,0,0,0,Alexandra Boltasseva (P),01/12-05/02,EE 226,Lecture
ECE,41500,1,PWL,1,Electro- And Fiber Optics Laboratory,R,02:30 pm-05:20 pm,6,1,5,0,0,0,0,0,0,Abdullah Al Noman (P),01/12-05/02,MSEE S016,Laboratory
ECE,42300,1,PWL,3,Electromechanical Motion Control,MWF,11:30 am-12:20 pm,60,57,3,0,0,0,0,0,0,Oleg Wasynczuk (P),01/12-05/02,EE 270,Lecture
ECE,43300,1,PWL,3,Power Electronics,MWF,08:30 am-09:20 am,55,37,18,0,0,0,0,0,0,Steven Dean Pekarek (P),01/12-05/02,EE 117,Lecture
ECE,43700,2,PWL,4,Computer Design And Prototyping,MWF,03:30 pm-04:20 pm,64,60,4,0,0,0,0,0,0,T N Vijaykumar (P),01/12-05/02,ME 1052,Lecture
ECE,43700,3,PWL,0,Computer Design And Prototyping,F,07:30 am-10:20 am,16,15,1,0,0,0,0,0,0,T N Vijaykumar (P),01/12-05/02,POTR 360,Laboratory
ECE,43700,5,PWL,0,Computer Design And Prototyping,W,07:30 am-10:20 am,16,16,0,0,0,0,0,0,0,T N Vijaykumar (P),01/12-05/02,POTR 360,Laboratory
ECE,43700,6,PWL,0,Computer Design And Prototyping,T,02:30 pm-05:20 pm,16,13,3,0,0,0,0,0,0,T N Vijaykumar (P),01/12-05/02,POTR 360,Laboratory
ECE,43700,7,PWL,0,Computer Design And Prototyping,R,02:30 pm-05:20 pm,16,16,0,0,0,0,0,0,0,T N Vijaykumar (P),01/12-05/02,POTR 360,Laboratory
ECE,43800,1,PWL,4,Digital Signal Processing With Applications,MWF,03:30 pm-04:20 pm,60,45,15,0,0,0,0,0,0,Okan K Ersoy (P),01/12-05/02,EE 117,Lecture
ECE,43800,2,PWL,0,Digital Signal Processing With Applications,T,08:30 am-11:20 am,15,8,7,0,0,0,0,0,0,Okan K Ersoy (P),01/12-05/02,MSEE 190,Laboratory
ECE,43800,3,PWL,0,Digital Signal Processing With Applications,F,11:30 am-02:20 pm,15,15,0,0,0,0,0,0,0,Okan K Ersoy (P),01/12-05/02,MSEE 190,Laboratory
ECE,43800,5,PWL,0,Digital Signal Processing With Applications,R,11:30 am-02:20 pm,15,8,7,0,0,0,0,0,0,Okan K Ersoy (P),01/12-05/02,MSEE 190,Laboratory
ECE,43800,6,PWL,0,Digital Signal Processing With Applications,T,11:30 am-02:20 pm,15,14,1,0,0,0,0,0,0,Okan K Ersoy (P),01/12-05/02,MSEE 190,Laboratory
ECE,44000,1,PWL,4,Transmission Of Information,MWF,12:30 pm-01:20 pm,30,28,2,0,0,0,0,0,0,James S Lehnert (P),01/12-05/02,EE 005,Lecture
ECE,44000,3,PWL,0,Transmission Of Information,W,07:30 am-10:20 am,15,14,1,0,0,0,0,0,0,"Muhammad Salman Bashir (P), James S Lehnert",01/12-05/02,EE 165,Laboratory
ECE,44000,4,PWL,0,Transmission Of Information,R,11:30 am-02:20 pm,15,14,1,0,0,0,0,0,0,"Muhammad Salman Bashir (P), James S Lehnert",01/12-05/02,EE 165,Laboratory
ECE,45600,2,PWL,3,Digital Integrated Circuit Analysis And Design,TR,12:00 pm-01:15 pm,31,5,26,0,0,0,0,0,0,Saeed Mohammadi (P),01/12-05/02,EE 226,Lecture
ECE,46900,1,PWL,4,Operating Systems Engineering,TR,09:00 am-10:15 am,75,51,24,0,0,0,0,0,0,Y Charlie Hu (P),01/12-05/02,SMTH 118,Lecture
ECE,46900,2,PWL,0,Operating Systems Engineering,W,02:30 pm-05:20 pm,25,22,3,0,0,0,0,0,0,Y Charlie Hu (P),01/12-05/02,EE 206,Laboratory
ECE,46900,3,PWL,0,Operating Systems Engineering,F,11:30 am-02:20 pm,25,22,3,0,0,0,0,0,0,Y Charlie Hu (P),01/12-05/02,EE 206,Laboratory
ECE,46900,4,PWL,0,Operating Systems Engineering,F,02:30 pm-05:20 pm,25,7,18,0,0,0,0,0,0,Y Charlie Hu (P),01/12-05/02,EE 206,Laboratory
ECE,47300,1,PWL,3,Introduction To Artificial Intelligence,TR,10:30 am-11:45 am,28,16,12,0,0,0,0,0,0,Jeffrey M Siskind (P),01/12-05/02,EE 005,Lecture
ECE,47700,1,PWL,4,Digital Systems Senior Project,TR,01:30 pm-02:20 pm,88,71,17,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,MSEE B012,Lecture
ECE,47700,3,PWL,0,Digital Systems Senior Project,W,07:30 am-09:20 am,44,27,17,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,MSEE 184,Laboratory
